mesh_heading,tree_number,major_tree_number,major_mesh_heading
"Pyruvate Metabolism, Inborn Errors",C16.320.565.202.810,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Leigh Disease,C16.320.565.202.810.444,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pyruvate Carboxylase Deficiency Disease,C16.320.565.202.810.666,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pyruvate Dehydrogenase Complex Deficiency Disease,C16.320.565.202.810.766,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Cytochrome-c Oxidase Deficiency,C16.320.565.240,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Hyperbilirubinemia, Hereditary",C16.320.565.300,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Crigler-Najjar Syndrome,C16.320.565.300.281,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Gilbert Disease,C16.320.565.300.528,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Jaundice, Chronic Idiopathic",C16.320.565.300.764,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Lipid Metabolism, Inborn Errors",C16.320.565.398,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Barth Syndrome,C16.320.565.398.224,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Hyperlipidemia, Familial Combined",C16.320.565.398.450,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hyperlipoproteinemia Type I,C16.320.565.398.465,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hyperlipoproteinemia Type II,C16.320.565.398.481,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Homozygous Familial Hypercholesterolemia,C16.320.565.398.481.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hyperlipoproteinemia Type III,C16.320.565.398.483,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hyperlipoproteinemia Type IV,C16.320.565.398.487,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hyperlipoproteinemia Type V,C16.320.565.398.493,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hypolipoproteinemias,C16.320.565.398.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hypoalphalipoproteinemias,C16.320.565.398.500.330,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Lecithin Cholesterol Acyltransferase Deficiency,C16.320.565.398.500.330.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Tangier Disease,C16.320.565.398.500.330.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hypobetalipoproteinemias,C16.320.565.398.500.440,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Abetalipoproteinemia,C16.320.565.398.500.440.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Lipidoses,C16.320.565.398.641,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Cholesterol Ester Storage Disease,C16.320.565.398.641.201,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Wolman Disease,C16.320.565.398.641.201.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Neuronal Ceroid-Lipofuscinoses,C16.320.565.398.641.509,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sjogren-Larsson Syndrome,C16.320.565.398.641.723,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sphingolipidoses,C16.320.565.398.641.803,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Fabry Disease,C16.320.565.398.641.803.300,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Farber Lipogranulomatosis,C16.320.565.398.641.803.325,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Gangliosidoses,C16.320.565.398.641.803.350,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Gangliosidoses, GM2",C16.320.565.398.641.803.350.300,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sandhoff Disease,C16.320.565.398.641.803.350.300.700,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Tay-Sachs Disease,C16.320.565.398.641.803.350.300.850,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Tay-Sachs Disease, AB Variant",C16.320.565.398.641.803.350.300.925,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Gangliosidosis, GM1",C16.320.565.398.641.803.350.360,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Gaucher Disease,C16.320.565.398.641.803.441,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Leukodystrophy, Globoid Cell",C16.320.565.398.641.803.585,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Niemann-Pick Diseases,C16.320.565.398.641.803.730,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Niemann-Pick Disease, Type A",C16.320.565.398.641.803.730.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Niemann-Pick Disease, Type B",C16.320.565.398.641.803.730.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Niemann-Pick Disease, Type C",C16.320.565.398.641.803.730.875,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sea-Blue Histiocyte Syndrome,C16.320.565.398.641.803.850,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sulfatidosis,C16.320.565.398.641.803.925,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Leukodystrophy, Metachromatic",C16.320.565.398.641.803.925.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Multiple Sulfatase Deficiency Disease,C16.320.565.398.641.803.925.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Lipodystrophy, Congenital Generalized",C16.320.565.398.745,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Smith-Lemli-Opitz Syndrome,C16.320.565.398.850,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Xanthomatosis, Cerebrotendinous",C16.320.565.398.925,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Lysosomal Storage Diseases,C16.320.565.595,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Aspartylglucosaminuria,C16.320.565.595.100,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Cholesterol Ester Storage Disease,C16.320.565.595.201,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Wolman Disease,C16.320.565.595.201.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Cystinosis,C16.320.565.595.377,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Lysosomal Storage Diseases, Nervous System",C16.320.565.595.554,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Fucosidosis,C16.320.565.595.554.295,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Glycogen Storage Disease Type II,C16.320.565.595.554.340,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mucolipidoses,C16.320.565.595.554.590,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sialic Acid Storage Disease,C16.320.565.595.554.810,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sphingolipidoses,C16.320.565.595.554.825,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Fabry Disease,C16.320.565.595.554.825.200,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Farber Lipogranulomatosis,C16.320.565.595.554.825.250,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Gangliosidoses,C16.320.565.595.554.825.300,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Gangliosidoses, GM2",C16.320.565.595.554.825.300.300,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sandhoff Disease,C16.320.565.595.554.825.300.300.800,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Tay-Sachs Disease,C16.320.565.595.554.825.300.300.840,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Tay-Sachs Disease, AB Variant",C16.320.565.595.554.825.300.300.920,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Gangliosidosis, GM1",C16.320.565.595.554.825.300.400,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Gaucher Disease,C16.320.565.595.554.825.400,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Leukodystrophy, Globoid Cell",C16.320.565.595.554.825.590,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Niemann-Pick Diseases,C16.320.565.595.554.825.700,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Niemann-Pick Disease, Type A",C16.320.565.595.554.825.700.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Niemann-Pick Disease, Type B",C16.320.565.595.554.825.700.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Niemann-Pick Disease, Type C",C16.320.565.595.554.825.700.875,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sea-Blue Histiocyte Syndrome,C16.320.565.595.554.825.775,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sulfatidosis,C16.320.565.595.554.825.850,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Leukodystrophy, Metachromatic",C16.320.565.595.554.825.850.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Multiple Sulfatase Deficiency Disease,C16.320.565.595.554.825.850.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mannosidase Deficiency Diseases,C16.320.565.595.577,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
alpha-Mannosidosis,C16.320.565.595.577.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
beta-Mannosidosis,C16.320.565.595.577.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mucopolysaccharidoses,C16.320.565.595.600,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mucopolysaccharidosis I,C16.320.565.595.600.640,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mucopolysaccharidosis II,C16.320.565.595.600.645,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mucopolysaccharidosis III,C16.320.565.595.600.650,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mucopolysaccharidosis IV,C16.320.565.595.600.655,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mucopolysaccharidosis VI,C16.320.565.595.600.670,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mucopolysaccharidosis VII,C16.320.565.595.600.675,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pycnodysostosis,C16.320.565.595.800,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Metal Metabolism, Inborn Errors",C16.320.565.618,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hemochromatosis,C16.320.565.618.337,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hepatolenticular Degeneration,C16.320.565.618.403,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hypophosphatasia,C16.320.565.618.482,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Hypophosphatemia, Familial",C16.320.565.618.544,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Familial Hypophosphatemic Rickets,C16.320.565.618.544.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Menkes Kinky Hair Syndrome,C16.320.565.618.590,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Paralyses, Familial Periodic",C16.320.565.618.711,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hypokalemic Periodic Paralysis,C16.320.565.618.711.550,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Paralysis, Hyperkalemic Periodic",C16.320.565.618.711.600,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pseudohypoparathyroidism,C16.320.565.618.815,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pseudopseudohypoparathyroidism,C16.320.565.618.815.815,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Peroxisomal Disorders,C16.320.565.663,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Acatalasia,C16.320.565.663.050,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Adrenoleukodystrophy,C16.320.565.663.100,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Chondrodysplasia Punctata, Rhizomelic",C16.320.565.663.265,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Mevalonate Kinase Deficiency,C16.320.565.663.430,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Refsum Disease,C16.320.565.663.760,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Refsum Disease, Infantile",C16.320.565.663.865,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Zellweger Syndrome,C16.320.565.663.970,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Progeria,C16.320.565.753,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Purine-Pyrimidine Metabolism, Inborn Errors",C16.320.565.798,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Dihydropyrimidine Dehydrogenase Deficiency,C16.320.565.798.183,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Gout,C16.320.565.798.368,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Arthritis, Gouty",C16.320.565.798.368.410,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Lesch-Nyhan Syndrome,C16.320.565.798.594,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Renal Tubular Transport, Inborn Errors",C16.320.565.893,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Steroid Metabolism, Inborn Errors",C16.320.565.925,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Adrenal Hyperplasia, Congenital",C16.320.565.925.249,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Antley-Bixler Syndrome Phenotype,C16.320.565.925.324,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Ichthyosis, X-Linked",C16.320.565.925.400,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Mineralocorticoid Excess Syndrome, Apparent",C16.320.565.925.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Smith-Lemli-Opitz Syndrome,C16.320.565.925.875,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Muscular Dystrophies,C16.320.577,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Distal Myopathies,C16.320.577.074,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Glycogen Storage Disease Type VII,C16.320.577.149,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Muscular Dystrophies, Limb-Girdle",C16.320.577.280,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Sarcoglycanopathies,C16.320.577.280.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Muscular Dystrophy, Duchenne",C16.320.577.300,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Muscular Dystrophy, Emery-Dreifuss",C16.320.577.350,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Autosomal Emery-Dreifuss Muscular Dystrophy,C16.320.577.350.250,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
X-Linked Emery-Dreifuss Muscular Dystrophy,C16.320.577.350.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Muscular Dystrophy, Facioscapulohumeral",C16.320.577.400,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Muscular Dystrophy, Oculopharyngeal",C16.320.577.450,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Myotonic Dystrophy,C16.320.577.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Walker-Warburg Syndrome,C16.320.577.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Myasthenic Syndromes, Congenital",C16.320.590,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Nail-Patella Syndrome,C16.320.600,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Neoplastic Syndromes, Hereditary",C16.320.700,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Adenomatous Polyposis Coli,C16.320.700.100,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Gardner Syndrome,C16.320.700.100.393,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Basal Cell Nevus Syndrome,C16.320.700.175,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Birt-Hogg-Dube Syndrome,C16.320.700.212,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Colorectal Neoplasms, Hereditary Nonpolyposis",C16.320.700.250,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Lynch Syndrome II,C16.320.700.250.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Muir-Torre Syndrome,C16.320.700.250.500.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Dysplastic Nevus Syndrome,C16.320.700.305,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Exostoses, Multiple Hereditary",C16.320.700.330,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Hamartoma Syndrome, Multiple",C16.320.700.435,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hereditary Breast and Ovarian Cancer Syndrome,C16.320.700.517,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Li-Fraumeni Syndrome,C16.320.700.600,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Multiple Endocrine Neoplasia,C16.320.700.630,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Multiple Endocrine Neoplasia Type 1,C16.320.700.630.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Multiple Endocrine Neoplasia Type 2a,C16.320.700.630.505,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Multiple Endocrine Neoplasia Type 2b,C16.320.700.630.510,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Neurofibromatoses,C16.320.700.633,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Neurofibromatosis 1,C16.320.700.633.650,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Neurofibromatosis 2,C16.320.700.633.655,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Peutz-Jeghers Syndrome,C16.320.700.667,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Tuberous Sclerosis,C16.320.700.700,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Wilms Tumor,C16.320.700.900,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Denys-Drash Syndrome,C16.320.700.900.220,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
WAGR Syndrome,C16.320.700.900.950,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Oculocerebrorenal Syndrome,C16.320.709,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Orofaciodigital Syndromes,C16.320.714,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Osteoarthropathy, Primary Hypertrophic",C16.320.718,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Osteochondrodysplasias,C16.320.728,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Osteogenesis Imperfecta,C16.320.737,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Pain Insensitivity, Congenital",C16.320.775,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pelger-Huet Anomaly,C16.320.784,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Primary Immunodeficiency Diseases,C16.320.798,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Ataxia Telangiectasia,C16.320.798.250,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Bloom Syndrome,C16.320.798.313,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Chediak-Higashi Syndrome,C16.320.798.375,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hereditary Complement Deficiency Diseases,C16.320.798.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Angioedemas, Hereditary",C16.320.798.500.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hyper-IgM Immunodeficiency Syndrome,C16.320.798.625,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Hyper-IgM Immunodeficiency Syndrome, Type 1",C16.320.798.625.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Job Syndrome,C16.320.798.688,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Leukocyte-Adhesion Deficiency Syndrome,C16.320.798.719,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Severe Combined Immunodeficiency,C16.320.798.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
X-Linked Combined Immunodeficiency Diseases,C16.320.798.750.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Wiskott-Aldrich Syndrome,C16.320.798.875,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pycnodysostosis,C16.320.812,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Renal Tubular Transport, Inborn Errors",C16.320.831,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Acidosis, Renal Tubular",C16.320.831.093,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Dent Disease,C16.320.831.271,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Fanconi Syndrome,C16.320.831.450,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Gitelman Syndrome,C16.320.831.491,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Glycosuria, Renal",C16.320.831.532,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Hypophosphatemia, Familial",C16.320.831.647,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Familial Hypophosphatemic Rickets,C16.320.831.647.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Liddle Syndrome,C16.320.831.698,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Oculocerebrorenal Syndrome,C16.320.831.750,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pseudohypoaldosteronism,C16.320.831.770,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Renal Aminoacidurias,C16.320.831.885,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Cystinuria,C16.320.831.885.250,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hartnup Disease,C16.320.831.885.457,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Skin Diseases, Genetic",C16.320.850,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Albinism,C16.320.850.080,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Albinism, Ocular",C16.320.850.080.090,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Albinism, Oculocutaneous",C16.320.850.080.100,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Hermanski-Pudlak Syndrome,C16.320.850.080.100.400,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Piebaldism,C16.320.850.080.600,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Cutis Laxa,C16.320.850.180,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Darier Disease,C16.320.850.190,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Dermatitis, Atopic",C16.320.850.210,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Dyskeratosis Congenita,C16.320.850.235,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Ectodermal Dysplasia,C16.320.850.250,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Ectodermal Dysplasia 1, Anhidrotic",C16.320.850.250.198,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Ectodermal Dysplasia 3, Anhidrotic",C16.320.850.250.298,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive",C16.320.850.250.348,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Ellis-Van Creveld Syndrome,C16.320.850.250.398,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Focal Dermal Hypoplasia,C16.320.850.250.424,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Focal Facial Dermal Dysplasias,C16.320.850.250.568,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Neurocutaneous Syndromes,C16.320.850.250.712,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Pachyonychia Congenita,C16.320.850.250.856,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Steatocystoma Multiplex,C16.320.850.250.856.500,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Ehlers-Danlos Syndrome,C16.320.850.260,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Epidermolysis Bullosa,C16.320.850.275,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Epidermolysis Bullosa Dystrophica,C16.320.850.275.160,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Epidermolysis Bullosa, Junctional",C16.320.850.275.170,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Epidermolysis Bullosa Simplex,C16.320.850.275.180,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Erythrokeratodermia Variabilis,C16.320.850.337,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Hyalinosis, Systemic",C16.320.850.368,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Ichthyosiform Erythroderma, Congenital",C16.320.850.400,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Hyperkeratosis, Epidermolytic",C16.320.850.400.375,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
"Ichthyosis, Lamellar",C16.320.850.400.410,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Ichthyosis Bullosa of Siemens,C16.320.850.402,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
Ichthyosis Vulgaris,C16.320.850.405,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
